Catalog ID,MW,Formula,Chemical name,Smiles,Type
Z3282895848,343.4136,C16H22FNO4S,1-(2-methyl-4-phenoxybutanoyl)piperidine-4-sulfonyl fluoride,CC(CCOC=1C=CC=CC1)C(=O)N2CCC(CC2)S(=O)(=O)F,SuFEx
Z4607560622,336.3366,C12H17FN2O6S,4-({[2-(2-hydroxyethoxy)ethyl](methyl)carbamoyl}amino)phenyl sulfurofluoridate,CN(CCOCCO)C(=O)NC=1C=CC(=CC1)OS(=O)(=O)F,FS
Z4607531286,365.4191,C18H20FNO4S,4-{[2-(2-methylphenyl)morpholin-4-yl]methyl}phenyl sulfurofluoridate,CC=1C=CC=CC1C2CN(CC=3C=CC(=CC3)OS(=O)(=O)F)CCO2,FS
Z4187629343,381.4251,C16H20FN5O3S,4-methyl-3-[({1-[2-(2-oxoimidazolidin-1-yl)ethyl]-1H-pyrazol-3-yl}amino)methyl]benzene-1-sulfonyl fluoride,CC=1C=CC(=CC1CNC=2C=CN(CCN3CCNC3=O)N2)S(=O)(=O)F,SuFEx
Z4607533147,332.3479,C13H17FN2O5S,4-{[4-(2-hydroxyethyl)-3-oxopiperazin-1-yl]methyl}phenyl sulfurofluoridate,O=C1CN(CC=2C=CC(=CC2)OS(=O)(=O)F)CCN1CCO,FS
Z4344243373,326.3864,C15H19FN2O3S,"2-{[(5-methyl-1,3-oxazol-4-yl)methyl][(2-methylphenyl)methyl]amino}ethane-1-sulfonyl fluoride",CC=1OC=NC1CN(CCS(=O)(=O)F)CC=2C=CC=CC2C,SuFEx
Z4607533155,409.4286,C19H20FNO6S,"rac-methyl (3R,4S)-1-({4-[(fluorosulfonyl)oxy]phenyl}methyl)-4-(4-hydroxyphenyl)pyrrolidine-3-carboxylate","COC(=O)[C@@H]1CN(CC=2C=CC(=CC2)OS(=O)(=O)F)C[C@H]1C=3C=CC(O)=CC3 |&1:4,20|",FS
Z4262529165,329.3075,C11H12FN5O4S,"5-{[1-(propan-2-yl)-1H-1,2,3-triazol-4-yl]carbamoyl}pyridin-3-yl sulfurofluoridate",CC(C)N1C=C(N=N1)NC(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z4332080203,398.3811,C17H16F2N2O5S,4-{[3-(2-fluorophenoxy)pyrrolidine-1-carbonyl]amino}phenyl sulfurofluoridate,O=C(NC=1C=CC(=CC1)OS(=O)(=O)F)N2CCC(C2)OC3=CC=CC=C3F,FS
Z4343805801,317.4027,C12H16FN3O2S2,2-[(1-methyl-1H-pyrazol-4-yl)[(5-methylthiophen-3-yl)methyl]amino]ethane-1-sulfonyl fluoride,CC1=CC(=CS1)CN(CCS(=O)(=O)F)C=2C=NN(C)C2,SuFEx
Z4607560674,328.3194,C12H13FN4O4S,4-({[(1-methyl-1H-pyrazol-3-yl)methyl]carbamoyl}amino)phenyl sulfurofluoridate,CN1C=CC(CNC(=O)NC=2C=CC(=CC2)OS(=O)(=O)F)=N1,FS
Z4262542917,332.3479,C13H17FN2O5S,5-[2-(methoxymethyl)piperidine-1-carbonyl]pyridin-3-yl sulfurofluoridate,COCC1CCCCN1C(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z4607533131,363.4032,C18H18FNO4S,"4-({6'-hydroxy-2',3'-dihydro-1'H-spiro[cyclopropane-1,4'-isoquinolin]-2'-yl}methyl)phenyl sulfurofluoridate",O=S(=O)(F)OC=1C=CC(=CC1)CN2CC=3C=CC(O)=CC3C4(CC4)C2,FS
Z4262427364,332.3479,C13H17FN2O5S,5-[(2-ethyloxan-4-yl)carbamoyl]pyridin-3-yl sulfurofluoridate,CCC1CC(CCO1)NC(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z4332071483,371.4071,C14H14FN3O4S2,"4-({cyclopropyl[(1,3-thiazol-2-yl)methyl]carbamoyl}amino)phenyl sulfurofluoridate",O=C(NC=1C=CC(=CC1)OS(=O)(=O)F)N(CC2=NC=CS2)C3CC3,FS
Z3481435568,332.7023,C10H9ClF4N2O2S,1-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]pyrrolidine-3-sulfonyl fluoride,O=S(=O)(F)C1CCN(C1)C=2N=CC(=CC2Cl)C(F)(F)F,SuFEx
Z4332079265,372.4548,C17H25FN2O4S,"4-[(4,4-diethylazepane-1-carbonyl)amino]phenyl sulfurofluoridate",CCC1(CC)CCCN(CC1)C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
